fan,view,video,isOffice
74100,4069725,300,0
74000,5739973,485,0
74000,977572,3,0
73900,8702133,246,0
73900,3936941,352,1
73800,3061340,177,1
73800,2987578,139,0
73700,13978285,58,0
73600,5318084,124,0
73200,8739564,228,0
73000,16632819,236,0
72800,56794721,1591,0
72800,2185639,226,1
72700,2646814,74,0
72200,1867449,333,1
72100,7761830,367,0
72000,19732154,292,0
72000,2521363,139,0
71700,1787658,137,1
71600,36006278,518,0
71400,5133656,64,0
71300,3619028,10,0
71200,3267636,1352,0
71100,2937318,241,0
70500,1853849,45,1
70400,4299325,63,1
70400,2259397,355,1
70300,3033759,39,1
70100,6008425,213,0
70100,4271296,344,0
70100,2962246,71,0
70000,2111803,54,0
69800,5492072,1135,0
69700,2512506,97,0
69600,2541757,550,1
69500,2635253,144,0
69400,6576410,211,0
69400,5782811,126,0
69400,3666051,752,1
69400,1364962,181,1
69200,9909428,72,1
69100,3204275,74,0
69000,6263340,227,0
68400,6580354,293,1
68100,6747079,399,0
68100,3322831,12,0
68100,3172443,820,0
68100,1760558,458,0
68000,4604501,538,1
68000,4076635,156,1
67800,4961744,24,0
67600,14151706,54,0
67400,9298848,77,0
67300,6695297,598,0
67200,4245794,43,0
67200,3206948,599,1
66800,5236752,614,0
66700,31068921,94,0
66600,4805847,74,0
66500,5595645,476,0
66400,4706355,45,0
66200,11801702,152,0
66100,4434998,141,1
66000,6167866,110,0
65900,6014182,767,0
65800,24747263,1701,0
65800,4512607,282,0
65700,2001926,145,0
65400,2032706,567,0
65300,12295954,291,0
65300,341962,4,0
65200,2266163,529,0
65100,4812793,470,1
65100,3887120,586,0
65000,7767352,1112,0
65000,6011182,79,0
64800,10160785,77,0
64800,4929011,1018,0
64300,58026217,3463,0
64300,8220425,435,0
64200,3088723,190,0
64200,2244566,165,0
64100,21670149,475,0
64000,16146949,715,0
63900,11684338,70,0
63900,1828370,555,1
63800,39055640,773,0
63700,872660,14,0
63700,567822,21,0
63500,3527119,818,1
63100,11101212,961,1
63100,4764326,161,0
63000,30396029,322,1
63000,7676608,111,0
63000,5257513,721,0
62900,5515077,1075,0
62700,13944821,316,0
62700,10725528,385,0
62700,6901557,103,0
62700,5269625,518,1
62600,6240053,349,0
62600,4113279,218,1
62500,2303673,477,1
62500,2090815,499,0
62400,4481665,100,0
62400,4312298,397,1
62200,3564593,401,0
62100,15247937,207,0
62100,7511723,95,1
62000,10468557,128,0
62000,2816708,433,0
61800,8318815,717,0
61700,3870079,502,1
61300,1228439,59,0
61200,2982008,50,1
61100,6511124,31,0
61000,4424334,373,0
60900,13207616,38,0
60900,11503,10,0
60700,16915364,390,0
60700,3273045,214,1
60600,1357198,143,0
60500,13978629,305,0
60300,5234924,378,1
60300,3285238,283,1
60200,3010074,96,0
60100,21712964,605,0
60000,1523287,21,1
59800,4303059,13,0
59700,4600014,311,0
59600,3990843,429,0
59600,3626877,360,0
59500,6021741,500,1
59500,3378115,435,1
59400,8453098,116,1
59400,5324700,38,0
59400,3306795,635,1
59300,80267221,772,0
59300,26771413,1487,0
59300,3695377,754,0
59300,2004591,131,0
59200,4408565,734,0
58800,24821415,634,0
58800,2055116,145,1
58400,4513508,316,1
58300,2478361,448,0
58200,26726622,306,1
58100,21687551,126,1
58100,5176848,119,1
58000,1990216,252,0
57800,3516634,561,0
57500,4940268,264,0
57400,2290946,439,0
57300,8281251,583,1
57300,2850144,161,1
56900,8413335,667,1
56800,3060496,49,0
56500,13357553,591,0
56500,1725745,110,0
56300,2725557,217,1
56200,5789103,50,1
56100,2074060,38,0
56000,16219458,298,0
56000,3552894,859,0
56000,3320186,92,0
56000,2798813,615,0
55900,16227118,144,0
55900,2705196,596,0
55900,2365231,60,1
55900,1791827,100,0
55800,4303366,326,0
55800,3041974,159,0
55700,23057074,260,0
55700,1821316,26,0
55600,1621324,263,1
55500,3036897,619,1
55400,5423445,951,0
55400,2950687,361,0
55300,42511709,375,0
55300,3261691,87,0
55300,2668968,130,0
55300,469072,183,0
55000,2900309,390,1
54900,19658,28,0
54800,1808223,564,0
54600,1655034,6,1
54600,1611015,414,1
54400,1365841,58,0
54300,35013046,2546,0
54200,22830719,527,0
54200,2861653,149,1
54000,5322542,94,0
53800,2030836,433,1
53800,1457362,158,0
53800,1352192,147,1
53700,1753562,744,1
53700,1710268,185,0
53500,2668000,766,1
53000,5638370,674,1
53000,3326969,380,1
52900,4164821,458,0
52900,1400377,52,0
52800,3885222,788,1
52800,861010,106,0
52700,15702834,1752,0
52500,2126948,67,1
52400,2797173,393,0
52300,79656284,2860,0
52300,44996349,1080,0
52100,6241589,14,0
51900,10778572,354,0
51900,5973189,488,0
51800,41593513,1851,0
51800,5064389,441,0
51700,20256738,604,0
51500,11823589,483,0
51500,4891351,82,1
51300,1829971,675,1
51200,1626533,33,0
51200,934036,141,0
51100,3001637,304,0
51100,2200443,695,1
51000,2064828,34,0
50900,2799091,23,0
50700,5786103,103,0
50700,4775885,181,0
50600,8045610,1469,0
50600,3748412,281,1
50400,12581588,307,0
50400,579605,85,0
50300,948105,413,1
50000,1512454,268,0
49800,9736,4,0
49600,27945482,2365,0
49600,3620624,700,1
49500,2144502,92,0
49300,1538695,41,0
49100,3753743,62,0
49000,2262225,526,0
48800,1121398,2,1
48800,639884,7,1
48600,1631880,183,0
48500,15973912,157,0
48500,1319785,290,1
48400,1125400,4,1
48300,1887904,401,1
48300,1652992,587,1
48200,4979850,155,1
47900,5929476,324,0
47900,2902711,714,0
47900,2308362,488,1
47800,3985477,151,0
47800,3249480,491,1
47700,1197243,75,1
47700,1157325,13,1
47600,4499348,319,0
47500,448588,49,1
47200,7295197,154,1
47200,3281594,26,0
47200,1576633,214,0
47100,3750645,466,0
47100,514804,126,1
47000,2565159,714,1
46800,6023438,272,1
46800,3811751,87,0
46700,2627440,809,1
46500,2099809,451,0
46400,6126249,325,1
46400,4531423,346,0
46400,3097790,18,0
46300,34058674,2365,0
46200,707084,43,0
46100,1546791,200,0
46100,1441167,17,0
45800,19649348,1791,0
45800,17186133,1239,0
45800,2770628,610,0
45800,1512814,269,0
45700,14657200,398,0
45700,12771910,175,0
45600,12089591,2122,0
45600,2156200,1550,0
45500,3327968,651,1
45400,13137214,44,0
45400,6129286,26,0
45400,5077251,23,0
45400,1989306,367,0
45400,1581635,408,1
45400,80383,6,0
45300,3683344,51,1
45300,2442721,244,0
45300,1868863,564,0
45100,36163861,406,0
45100,7677295,32,0
45000,11472414,241,0
44800,8011641,361,0
44800,3458374,596,0
44800,2445739,151,0
44800,1792964,737,1
44800,1103965,84,1
44700,900116,409,0
44500,2414184,25,0
44500,2301692,543,0
44500,2209297,149,0
44400,4500803,251,1
44300,2548355,165,1
44200,1519204,95,0
44100,4260907,1667,1
44100,1880607,151,1
43900,4679881,248,0
43700,3133740,81,0
43700,2488676,13,0
43600,1001586,150,1
43500,9066705,1310,0
43500,6173417,185,0
43500,5464153,355,0
43400,10371518,1438,0
43300,6879720,138,0
43300,4372623,639,1
43300,1550807,60,1
43100,100811178,1694,0
43100,1746353,185,0
43100,1622004,740,1
43000,2900987,306,0
42900,3762102,1003,0
42800,1830288,8,1
42700,781402,189,0
42500,1701833,77,0
42500,822555,96,0
42500,769975,104,0
42400,5803341,73,0
42300,3049817,181,0
42300,983394,286,0
42200,5660639,415,0
42200,5430068,146,0
42200,3629673,478,0
42100,2703775,100,1
42000,2728590,331,1
42000,493647,790,0
41900,1876712,189,0
41900,348901,2,0
41700,11741901,162,0
41700,5222149,303,0
41700,3699124,1893,0
41700,2085224,671,0
41600,1811534,55,0
41500,6243690,162,0
41500,6169430,45,0
41500,3913284,147,1
41500,3144890,78,0
41500,2491684,769,0
41400,4038491,904,1
41400,1569231,17,0
41300,14772822,994,0
41300,510980,52,0
41200,11804253,1108,0
41100,2691399,890,1
41100,1437670,541,1
41100,1064696,104,0
41100,1042968,456,0
41000,1925622,422,1
41000,1595650,655,1
40800,19784612,384,0
40700,29003429,1602,0
40600,5930166,1974,1
40600,3688923,48,1
40600,1170337,97,0
40400,29587799,854,0
40400,3741942,53,0
40300,4454394,366,0
40300,2414337,129,0
40300,1867996,434,0
40200,10864380,150,0
40200,1822006,218,1
40200,1447430,60,1
40100,25841392,1166,0
40100,22312144,1104,0
40100,1405342,24,0
40100,215646,25,0
40000,6288595,247,0
40000,4608904,520,1
40000,3341702,420,1
40000,996533,379,0
39900,2362415,564,0
39800,3678015,697,0
39800,862100,59,0
39800,578492,17,0
39700,2964477,744,0
39700,1977558,32,0
39600,2464695,134,0
39500,4141628,515,1
39500,2195374,28,0
39400,3127647,476,0
39200,1333139,76,0
39100,5241807,32,0
39100,1599255,766,0
39100,1316572,204,1
38700,8527311,260,0
38700,538937,15,0
38700,330065,6,1
38600,6768345,686,0
38600,1971439,472,1
38500,4540193,110,0
38500,125979,8,0
38400,3447165,454,0
38400,2284963,81,0
38400,1763151,151,1
38300,1996486,281,0
38300,1740488,359,0
38300,1657540,188,0
38200,1733156,48,0
38200,1479261,518,1
38000,4998922,143,0
38000,2089902,648,0
37800,3938627,279,0
37800,2342632,256,1
37800,1448080,294,0
37700,4046456,599,0
37600,1591936,143,0
37600,1540034,1018,0
37600,1495447,137,0
37500,1780078,129,1
37400,1866521,229,1
37400,1615962,291,0
37300,15283512,892,0
37200,4400709,692,0
37200,892255,211,0
37000,3309860,736,0
37000,1434751,569,0
36900,8349445,1563,0
36900,2167643,539,0
36900,1785351,56,0
36900,626628,80,0
36800,1406903,744,1
36800,883404,132,0
36800,127764,33,1
36700,2958819,327,0
36700,887812,305,1
36500,1937659,121,0
36500,970838,38,1
36400,1833897,339,0
36400,1388147,23,0
36400,1120594,34,0
36400,706379,18,0
36300,5712376,24,0
36300,3097330,307,0
36200,1623643,713,0
36100,20910099,903,0
36000,4792069,776,0
36000,2376437,156,1
36000,1909423,98,0
35900,3804324,292,0
35900,2011794,383,0
35900,936019,88,0
35800,5093172,32,0
35800,1559578,605,0
35700,1337324,414,1
35600,9028387,378,0
35600,1084956,67,1
35500,1003928,261,0
35400,2283508,158,0
35400,1680177,137,1
35400,1617896,73,0
35300,2719876,780,0
35300,2293391,390,0
35300,1566415,212,0
35300,1449151,102,0
35100,4160418,137,0
35100,1389719,293,0
35000,3503491,180,0
34900,910319,28,0
34900,402263,6,0
34800,1508417,247,0
34700,2063129,393,0
34700,1969016,339,0
34600,2891389,715,1
34600,1595393,512,1
34600,1341127,13,0
34600,851053,391,0
34600,840201,336,1
34500,6027913,143,0
34500,2105883,43,0
34500,1987242,361,0
34300,3772168,270,0
34300,579808,107,0
34200,6706124,326,0
34200,2481763,723,0
34200,1152168,435,0
34200,1057062,81,0
34100,14927101,620,0
34100,2207460,690,1
34000,839242,52,0
34000,647904,141,0
33900,6742360,233,1
33900,1980996,524,0
33900,1972502,1390,0
33800,6806133,208,0
33800,2143448,97,0
33800,977549,522,1
33600,1086694,272,0
33500,2021610,582,1
33400,3310612,257,0
33400,1787898,749,1
33300,9904822,584,0
33200,4857686,24,0
33200,2718658,471,1
33200,1934906,131,0
33100,10249595,2132,0
33100,9005286,1064,0
33100,1530013,32,0
33100,1080695,84,0
33000,771545,250,1
32900,3639347,165,0
32900,1231449,20,0
32800,2294697,1017,0
32700,6891293,416,1
32700,4076852,858,0
32700,1562501,700,0
32600,13718425,1793,0
32600,2609360,40,0
32500,2946512,450,0
32500,2390598,361,1
32400,2313801,270,1
32400,1915440,164,0
32300,5484701,1338,1
32300,1198285,276,0
32200,3043942,18,0
32200,2084524,1109,1
32100,15891659,2194,0
32100,5748732,667,0
32100,2994294,94,0
32100,2340686,518,1
32100,1830510,631,1
32100,9372,12,0
32000,47504992,1590,0
32000,5360530,52,0
32000,4694238,1147,0
31900,3037225,292,0
31900,1490120,362,0
31900,1339393,365,0
31800,20126235,161,0
31800,1502695,734,0
31700,23959965,1509,0
31700,1131121,636,0
31600,3570741,129,0
31600,1365319,410,1
31600,869834,95,0
31600,391485,51,0
31600,227157,138,0
31500,857038,34,0
31400,6154222,164,0
31400,2141186,162,0
31300,4199023,160,1
31300,1347270,337,0
31200,18270798,324,0
31200,2637278,153,0
31200,1761927,115,0
31200,1721280,673,0
31200,1312628,691,0
31200,1069811,276,0
31100,6842915,158,0
31000,2175581,573,1
31000,1425165,248,0
30900,8052469,536,0
30900,3626659,803,0
30800,3793316,501,1
30800,1877725,119,0
30800,1008414,90,0
30800,801974,78,0
30700,3904202,1227,0
30700,1169713,273,0
30700,995773,27,1
30600,14726432,908,0
30500,1726957,147,0
30500,850855,379,1
30500,421874,74,0
30400,3236359,7,0
30400,1995550,371,1
30300,5348738,891,0
30300,2737505,456,0
30300,1757817,57,1
30300,36043,28,1
30200,3389065,494,0
30200,935032,88,0
30100,1616476,40,0
30000,2005068,692,0
30000,1678457,345,0
30000,1277507,505,1
30000,998037,360,1
29900,3658241,29,0
29900,761504,20,0
29900,638780,9,0
29800,8266416,1383,0
29800,2271740,29,0
29800,1772375,339,1
29800,835634,367,1
29700,5664073,87,0
29700,2554010,150,0
29700,1662751,112,0
29600,4996087,325,1
29600,642489,119,0
29500,3135354,188,0
29500,1065567,351,0
29400,3254123,75,0
29400,2005942,546,1
29400,1897536,253,1
29400,1395181,499,0
29300,3863267,513,1
29300,3072234,1411,0
29300,955800,367,1
29200,2379494,356,0
29100,1603259,293,0
29100,890886,374,0
29000,50856656,1795,0
28900,3160638,91,0
28900,1563935,812,0
28900,535448,161,1
28900,322659,38,0
28800,686757,36,1
28700,2472638,88,0
28700,2251687,806,0
28700,1886332,611,0
28700,1640412,828,1
28700,255452,7,0
28600,7842558,363,0
28600,4784680,670,0
28600,352125,71,0
28500,20856906,853,0
28500,20742081,2376,0
28400,4425358,989,0
28400,151476,90,0
28300,23289160,243,0
28300,9685628,385,0
28300,3169419,152,0
28300,2415161,166,1
28300,731768,412,0
28200,1750620,193,0
28200,227761,35,0
28100,3376756,68,0
28100,2327038,747,0
28100,1634341,224,1
28100,1020047,196,0
28000,4794197,595,0
28000,3499361,983,1
28000,1608270,200,0
28000,1524315,22,1
28000,1234914,235,0
28000,1103006,683,0
27900,1112188,74,0
27900,762195,194,0
27900,231414,7,0
27800,25445522,513,0
27800,10434618,336,0
27700,2785470,83,0
27700,2360304,740,0
27700,1863071,1586,0
27700,1775196,399,0
27700,211503,154,0
27600,5836006,412,0
27600,2671116,175,0
27600,976255,353,0
27500,4834813,1479,0
27500,2228537,276,0
27500,799388,439,1
27500,468553,131,0
27400,4239008,311,1
27400,3498704,1270,0
27400,1549235,268,0
27400,654615,174,1
27400,366945,17,1
27300,4945230,869,0
27300,1085426,132,0
27200,3352076,736,0
27200,2319308,1061,0
27200,1779697,210,0
27200,1703952,420,0
27200,979528,64,0
27200,218123,8,0
27200,82856,10,0
27100,1739304,1006,0
27100,420896,305,0
27000,3565251,506,1
27000,2222560,259,0
27000,17754,6,0
26900,13662750,3029,0
26900,1023471,273,0
26900,849320,63,1
26800,1743299,66,0
26800,833103,227,0
26800,487264,80,1
26800,372823,24,0
26700,2423189,403,0
26700,1971836,497,0
26700,982541,71,0
26500,1912568,322,0
26400,8580679,1712,0
26400,5871119,12,0
26400,1803440,11,0
26400,1103399,381,0
26400,931309,156,0
26400,317544,25,0
26300,7086407,501,0
26300,2924748,40,0
26300,44454,2,0
26200,16903298,209,1
26200,2873724,303,0
26200,2241044,162,0
26200,820971,203,0
26200,724050,75,1
26200,475758,46,0
26100,14039043,3128,0
26100,1938726,61,0
26100,1435120,225,0
26100,1017396,49,0
26000,4682473,106,0
26000,2242197,146,0
26000,1556069,342,0
26000,1421415,727,0
25900,10797371,2290,0
25900,1826257,72,0
25900,675526,49,0
25800,7360519,185,0
25800,2580916,921,0
25800,890516,65,0
25700,1101254,184,0
25700,1084073,186,0
25700,874321,588,1
25600,811596,17,0
25500,3186894,892,0
25500,1178529,267,0
25500,321909,16,0
25400,3256033,525,0
25400,3150404,315,0
25400,1096645,597,1
25300,5661233,204,0
25300,244432,713,0
25200,2454955,430,0
25200,1868574,493,0
25200,666511,210,0
25200,266455,81,0
25200,146287,47,0
25000,24383369,7292,0
25000,2031076,521,0
25000,1919764,177,1
25000,1196256,510,1
24900,3361228,310,0
24900,1694549,122,1
24900,1347778,32,0
24900,848250,384,0
24900,568229,8,0
24800,2686699,1427,0
24800,2377400,286,0
24800,1663727,1175,0
24800,653270,165,1
24700,6774156,187,0
24700,2496897,217,1
24700,2408587,935,0
24700,1305321,33,0
24700,891784,256,0
24700,450446,374,0
24600,11356620,2647,0
24600,5304661,119,1
24600,385929,177,0
24500,4003141,549,0
24500,567357,313,0
24500,36518,6,0
24400,5399800,139,0
24400,2091746,251,0
24400,1125790,280,0
24400,578483,360,0
24400,298863,171,0
24300,770163,321,0
24200,3162343,596,1
24200,871320,543,1
24100,2856845,198,0
24100,2852188,725,0
24100,2524321,462,0
24100,1887926,737,0
24100,737205,26,0
24000,1827755,66,0
24000,822952,74,0
23900,5532594,1141,1
23900,2406306,833,0
23900,749945,191,0
23800,1072756,245,0
23800,864741,385,0
23700,3127410,447,0
23700,1736304,819,0
23700,1116606,260,0
23700,340177,239,1
23600,4057688,900,0
23600,953324,241,1
23600,631912,336,0
23600,625904,275,1
23500,15935486,510,0
23500,4183968,120,0
23500,2046382,15,0
23500,822576,95,0
23500,707959,64,0
23400,1226334,9,1
23400,1096994,797,0
23400,894424,349,0
23400,2540,3,0
23300,7254557,17,0
23300,2812351,293,1
23300,2322557,493,0
23300,1040546,163,1
23200,4378194,1387,0
23200,1628387,565,1
23000,2752945,1082,1
23000,1345697,126,1
23000,1292308,79,0
23000,1284328,572,0
23000,609974,32,0
23000,362178,41,0
22900,5426111,292,0
22900,4269932,916,1
22900,772467,452,1
22800,6528267,471,0
22800,2347901,129,0
22800,2005089,218,0
22800,1741374,146,0
22800,1430937,487,0
22800,578885,34,0
22800,519349,4,0
22700,4974289,225,0
22700,3389868,355,0
22700,2186613,1040,0
22700,699643,133,0
22600,6121219,324,0
22600,3613708,377,1
22600,3347113,567,1
22600,2790717,42,0
22600,1171496,103,0
22500,14639031,1591,0
22500,11945495,1635,0
22500,4703924,717,0
22500,4554536,145,0
22500,3374473,75,0
22500,859800,352,1
22500,761859,69,1
22400,15365220,1600,0
22400,3770597,1667,0
22400,3569706,683,0
22400,1752150,96,0
22400,1274542,505,0
22400,1236518,768,0
22300,1437590,95,0
22300,1326356,458,1
22300,818691,32,0
22300,559532,42,0
22200,6004405,24,0
22200,5806048,286,0
22200,1094043,26,0
22200,942335,110,1
22200,702162,588,1
22100,9594569,520,1
22100,4022539,360,1
22100,3111610,66,0
22100,2301900,1874,0
22100,1584166,253,0
22100,1380309,126,0
22100,936451,139,1
22100,900784,72,1
22100,607501,173,0
22000,3118519,95,0
22000,1571821,82,1
22000,1100143,79,0
21900,5201405,75,0
21900,3077870,274,0
21900,3013867,634,0
21900,1423985,105,1
21900,1321498,329,0
21900,1027929,630,0
21900,548084,106,0
21800,1409719,101,0
21800,1255656,182,1
21800,806367,588,0
21700,2062483,34,0
21700,1111313,133,0
21700,784883,485,0
21700,274841,83,0
21600,6913026,1239,0
21600,1817805,96,1
21600,1184055,303,0
21600,1039175,678,0
21600,726990,33,0
21500,5923754,366,0
21500,3070878,270,0
21500,2320099,386,1
21500,1172362,905,1
21500,682573,264,0
21400,10891948,5,0
21400,1049620,489,0
21400,329522,413,0
21300,4015210,149,0
21300,2687008,439,0
21300,1564483,162,1
21300,697007,29,0
21200,785103,443,0
21200,228977,2,1
21100,3693356,166,0
21100,1925294,790,0
21000,2043629,328,0
21000,1481349,71,0
21000,1230451,80,1
20900,4786359,244,0
20900,2035885,324,0
20900,989600,97,1
20900,948785,133,0
20900,722268,173,0
20900,523868,247,0
20900,361816,48,0
20800,2391455,201,0
20800,856029,19,0
20800,825365,418,0
20800,614883,80,0
20800,508606,97,0
20800,413743,79,0
20800,335815,115,0
20700,5920759,1140,0
20700,2610266,9,0
20700,1076567,21,1
20700,980999,813,1
20700,614506,423,0
20700,235863,98,0
20600,1839348,233,0
20600,1425733,76,0
20600,1171886,73,1
20600,435600,1916,0
20600,300104,194,0
20600,282996,146,0
20500,6910603,287,0
20500,1540069,31,0
20500,1205652,1072,0
20500,1009385,280,0
20500,911388,17,1
20500,206434,301,0
20500,99068,19,1
20500,61989,78,0
20400,6841192,563,0
20400,3220756,397,0
20400,537058,68,0
20300,7411808,517,0
20300,7130583,1065,0
20300,1747033,11,0
20300,1075650,60,1
20300,574687,160,0
20300,247212,45,0
20300,188702,26,0
20200,1333725,621,0
20200,693349,25,0
20200,668662,619,0
20200,600882,125,0
20200,296300,67,0
20200,259870,35,0
20200,41835,7,0
20100,8183881,713,0
20100,6149543,59,0
20100,3714840,8,0
20100,1956551,29,0
20100,1649739,817,0
20100,815009,263,0
20100,732189,29,0
20100,719363,48,0
